device;training_samples;validation_samples;test_samples;batch_size;loss_function;random_seed;hidden_layer_size;learning_rate;momentum;epochs;epoch;phase;accuracy;loss;duration
cuda;48000;12000;10000;1024;CrossEntropyLoss();51;64;0.01;0.1;5;1;TRAIN;21.0%;2.268689;27.031809
cuda;48000;12000;10000;1024;CrossEntropyLoss();51;64;0.01;0.1;5;1;VAL;34.1%;2.219209;29.282402
cuda;48000;12000;10000;1024;CrossEntropyLoss();51;64;0.01;0.1;5;2;TRAIN;46.2%;2.166820;22.904418
cuda;48000;12000;10000;1024;CrossEntropyLoss();51;64;0.01;0.1;5;2;VAL;57.2%;2.107495;20.671084
cuda;48000;12000;10000;1024;CrossEntropyLoss();51;64;0.01;0.1;5;3;TRAIN;62.1%;2.043348;19.028749
cuda;48000;12000;10000;1024;CrossEntropyLoss();51;64;0.01;0.1;5;3;VAL;65.7%;1.972223;17.314991
cuda;48000;12000;10000;1024;CrossEntropyLoss();51;64;0.01;0.1;5;4;TRAIN;68.2%;1.896495;19.090009
cuda;48000;12000;10000;1024;CrossEntropyLoss();51;64;0.01;0.1;5;4;VAL;69.2%;1.814417;19.371430
cuda;48000;12000;10000;1024;CrossEntropyLoss();51;64;0.01;0.1;5;5;TRAIN;70.8%;1.730510;20.401483
cuda;48000;12000;10000;1024;CrossEntropyLoss();51;64;0.01;0.1;5;5;VAL;71.3%;1.643050;17.455368
cuda;48000;12000;10000;1024;CrossEntropyLoss();51;64;0.01;0.1;5;;TEST;73.0%;1.625455;5.344967
cuda;48000;12000;10000;1024;CrossEntropyLoss();51;64;0.01;0.5;5;1;TRAIN;26.1%;2.243004;18.952362
cuda;48000;12000;10000;1024;CrossEntropyLoss();51;64;0.01;0.5;5;1;VAL;45.0%;2.154728;21.809802
cuda;48000;12000;10000;1024;CrossEntropyLoss();51;64;0.01;0.5;5;2;TRAIN;55.7%;2.040939;20.576633
cuda;48000;12000;10000;1024;CrossEntropyLoss();51;64;0.01;0.5;5;2;VAL;63.0%;1.913507;16.692246
cuda;48000;12000;10000;1024;CrossEntropyLoss();51;64;0.01;0.5;5;3;TRAIN;68.0%;1.769717;17.748535
cuda;48000;12000;10000;1024;CrossEntropyLoss();51;64;0.01;0.5;5;3;VAL;70.6%;1.622867;16.744009
cuda;48000;12000;10000;1024;CrossEntropyLoss();51;64;0.01;0.5;5;4;TRAIN;73.9%;1.476082;18.700527
cuda;48000;12000;10000;1024;CrossEntropyLoss();51;64;0.01;0.5;5;4;VAL;75.5%;1.335979;17.147369
cuda;48000;12000;10000;1024;CrossEntropyLoss();51;64;0.01;0.5;5;5;TRAIN;77.8%;1.214531;18.323181
cuda;48000;12000;10000;1024;CrossEntropyLoss();51;64;0.01;0.5;5;5;VAL;79.0%;1.104186;17.178136
cuda;48000;12000;10000;1024;CrossEntropyLoss();51;64;0.01;0.5;5;;TEST;79.7%;1.081991;5.318214
cuda;48000;12000;10000;1024;CrossEntropyLoss();51;64;0.01;0.9;5;1;TRAIN;50.8%;1.964469;18.160318
cuda;48000;12000;10000;1024;CrossEntropyLoss();51;64;0.01;0.9;5;1;VAL;72.7%;1.395670;16.659058
cuda;48000;12000;10000;1024;CrossEntropyLoss();51;64;0.01;0.9;5;2;TRAIN;81.0%;0.929294;17.657015
cuda;48000;12000;10000;1024;CrossEntropyLoss();51;64;0.01;0.9;5;2;VAL;84.6%;0.645569;16.711161
cuda;48000;12000;10000;1024;CrossEntropyLoss();51;64;0.01;0.9;5;3;TRAIN;86.0%;0.558066;17.568306
cuda;48000;12000;10000;1024;CrossEntropyLoss();51;64;0.01;0.9;5;3;VAL;87.4%;0.490821;17.411940
cuda;48000;12000;10000;1024;CrossEntropyLoss();51;64;0.01;0.9;5;4;TRAIN;87.8%;0.459794;17.548184
cuda;48000;12000;10000;1024;CrossEntropyLoss();51;64;0.01;0.9;5;4;VAL;88.6%;0.428486;18.337942
cuda;48000;12000;10000;1024;CrossEntropyLoss();51;64;0.01;0.9;5;5;TRAIN;88.8%;0.412149;19.048816
cuda;48000;12000;10000;1024;CrossEntropyLoss();51;64;0.01;0.9;5;5;VAL;89.5%;0.393620;17.888713
cuda;48000;12000;10000;1024;CrossEntropyLoss();51;64;0.01;0.9;5;;TEST;89.9%;0.375770;5.310717
cuda;48000;12000;10000;1024;CrossEntropyLoss();51;64;0.1;0.1;5;1;TRAIN;61.1%;1.711052;19.929660
cuda;48000;12000;10000;1024;CrossEntropyLoss();51;64;0.1;0.1;5;1;VAL;79.5%;1.023203;18.303323
cuda;48000;12000;10000;1024;CrossEntropyLoss();51;64;0.1;0.1;5;2;TRAIN;83.2%;0.758910;18.922311
cuda;48000;12000;10000;1024;CrossEntropyLoss();51;64;0.1;0.1;5;2;VAL;85.5%;0.591973;17.952767
cuda;48000;12000;10000;1024;CrossEntropyLoss();51;64;0.1;0.1;5;3;TRAIN;86.7%;0.525415;19.865985
cuda;48000;12000;10000;1024;CrossEntropyLoss();51;64;0.1;0.1;5;3;VAL;87.9%;0.468473;18.220940
cuda;48000;12000;10000;1024;CrossEntropyLoss();51;64;0.1;0.1;5;4;TRAIN;88.3%;0.440396;20.851491
cuda;48000;12000;10000;1024;CrossEntropyLoss();51;64;0.1;0.1;5;4;VAL;89.0%;0.412574;18.890239
cuda;48000;12000;10000;1024;CrossEntropyLoss();51;64;0.1;0.1;5;5;TRAIN;89.2%;0.396393;20.559069
cuda;48000;12000;10000;1024;CrossEntropyLoss();51;64;0.1;0.1;5;5;VAL;89.6%;0.379199;17.129362
cuda;48000;12000;10000;1024;CrossEntropyLoss();51;64;0.1;0.1;5;;TEST;90.0%;0.361176;7.717861
cuda;48000;12000;10000;1024;CrossEntropyLoss();51;64;0.1;0.5;5;1;TRAIN;68.7%;1.344151;19.830181
cuda;48000;12000;10000;1024;CrossEntropyLoss();51;64;0.1;0.5;5;1;VAL;85.4%;0.634184;19.258861
cuda;48000;12000;10000;1024;CrossEntropyLoss();51;64;0.1;0.5;5;2;TRAIN;87.0%;0.510058;23.413550
cuda;48000;12000;10000;1024;CrossEntropyLoss();51;64;0.1;0.5;5;2;VAL;88.7%;0.429532;21.561351
